metric,value
Mean IC,0.0320
IC Std,0.1710
ICIR,0.1869
IC t-stat (Newey-West),3.01
IC p-value (NW),0.0030
IC Hit Rate,57.1%
Mean L/S Spread,0.0276
L/S Hit Rate,57.7%
N Cross-sections,182
Period Start,2011-01-10
Period End,2026-02-23
