metric,value
Mean IC,0.0338
IC Std,0.1800
ICIR,0.1878
IC t-stat (Newey-West),3.09
IC p-value (NW),0.0023
IC Hit Rate,58.6%
Mean L/S Spread,0.0274
L/S Hit Rate,58.0%
N Cross-sections,181
Period Start,2011-02-08
Period End,2026-02-20
